Country,State,cuisine,title,URL,rating,total_time,prep_time,cook_time,description,ingredients_list,instructions,serves,rating_count,calories,carbohydrateContent,cholesterolContent,fiberContent,proteinContent,saturatedFatContent,sodiumContent,sugarContent,fatContent,ingredients,animal_der,milk_der,plant_der,diet_type
US,Missouri,Missouri,Ground Beef and Cabbage,https://www.allrecipes.com/recipe/229324/ground-beef-and-cabbage/,4.5,60.0,15.0,45.0,"This ground beef and cabbage recipe combines lean ground beef, cabbage, onion, and tomatoes with simple seasonings for a hearty and comforting dish.","['1 large head cabbage, finely chopped', '1 (14.5 ounce) can diced tomatoes with juice', '1 onion, halved and thinly sliced', '1 tablespoon Italian seasoning', 'salt and ground black pepper to taste', '1 pound lean ground beef']","['Place cabbage, tomatoes with juice, onion, Italian seasoning, salt, and pepper into a Dutch oven or large pot over low heat; cook and stir until it begins to simmer.', 'Add lean ground beef on top; cover and cook, stirring occasionally, until cabbage is tender and ground beef is cooked through, about 45 minutes.']",6,386,228.0,18.0,50.0,7.0,18.0,4.0,191.0,10.0,10.0,"['juice', 'tomatoes', 'salt', 'onion', 'ground', 'beef', 'pepper', 'cabbage']",beef,,"juice, tomatoes, salt, onion, ground, pepper, cabbage",nveg
US,Missouri,Missouri,Old Fashioned Peach Cobbler,https://www.allrecipes.com/recipe/19897/old-fashioned-peach-cobbler/,4.6,130.0,30.0,100.0,"This old-fashioned peach cobbler recipe features flaky, homemade pastry filled with fresh peaches tossed in citrus juice with nutmeg and cinnamon.","['2.5 cups all-purpose flour', '4 tablespoons white sugar, divided', '1 teaspoon salt', '1 cup shortening', '1 large egg', '0.25 cup cold water', '1 tablespoon butter, melted', '3 pounds fresh peaches - peeled, pitted, and sliced', '0.75 cup orange juice', '0.25 cup lemon juice', '0.5 cup butter', '2 cups white sugar', '1 tablespoon cornstarch', '1 teaspoon ground cinnamon', '0.5 teaspoon ground nutmeg']","['Make crust: Sift together flour, 3 tablespoons sugar, and salt in a medium bowl. Work in shortening with a pastry blender until mixture resembles coarse crumbs. Whisk together egg and cold water in a small bowl. Sprinkle over flour mixture; work with hands to form dough into a ball. Wrap with plastic wrap and chill in the refrigerator for 30 minutes.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Roll out 1/2 of the chilled dough to 1/8-inch thickness. Place in a 9x13-inch baking dish, covering the bottom and halfway up the sides.', 'Bake in the preheated oven until golden brown, about 20 minutes.', 'Make filling: Mix peaches, orange juice, and lemon juice in a large saucepan. Add butter and cook over medium-low heat until butter is melted. Stir together sugar, cornstarch, cinnamon, and nutmeg in a bowl; mix into peach mixture until combined. Pour into baked crust.', 'Roll remaining dough to 1/4-inch thickness. Cut into 1/2-inch-wide strips. Weave strips into a lattice over peaches. Sprinkle with 1 tablespoon sugar, then drizzle with melted butter.', 'Bake in the preheated oven until top crust is golden brown, 35 to 40 minutes.']",18,704,338.0,44.0,26.0,1.0,2.0,7.0,177.0,30.0,18.0,"['juice', 'butter', 'peaches', 'nutmeg', 'salt', 'cinnamon', 'cornstarch', 'sugar', 'lemon', 'water', 'ground', 'flour', 'egg', 'orange']",egg,butter,"juice, peaches, nutmeg, cinnamon, salt, cornstarch, sugar, lemon, water, ground, flour, orange",nveg
US,Missouri,Missouri,St. Louis Toasted Ravioli,https://www.allrecipes.com/recipe/16907/st-louis-toasted-ravioli/,4.5,25.0,15.0,10.0,Toasted ravioli traces its roots to St. Louis. This breaded and fried treat is sprinkled with Parmesan cheese and served with marinara sauce for dipping.,"['1 (16 ounce) jar marinara sauce', '1 large egg', '2 tablespoons whole milk', '0.75 cup Italian seasoned bread crumbs', '0.5 teaspoon salt', '0.5 (25 ounce) package frozen cheese ravioli, thawed', '3 cups vegetable oil for frying, or as needed', '1 tablespoon grated Parmesan cheese']","['Heat marinara sauce in a saucepan over medium heat until bubbling; reduce the heat to low and simmer until needed.', 'Meanwhile, whisk egg and milk together in a small bowl. Whisk bread crumbs and salt together in a second small bowl.', 'Dip each ravioli in milk mixture, then in bread crumbs to coat.', 'Heat 2 inches oil in a large, heavy pan until a small amount of breading sizzles and turns brown. Fry ravioli, a few at a time, until golden, about 1 minute per side. Drain on paper towels.', 'Sprinkle warm ravioli with Parmesan and serve immediately with hot marinara sauce on the side.']",6,474,374.0,39.0,57.0,4.0,11.0,5.0,886.0,9.0,19.0,"['marinara', 'milk', 'crumbs', 'sauce', 'salt', 'bread', 'ravioli', 'jar', 'cheese', 'parmesan', 'egg', 'oil']",egg,"cheese, milk, parmesan","marinara, crumbs, sauce, salt, bread, ravioli, jar, oil",nveg
US,Missouri,Missouri,Amish Friendship Bread Starter,https://www.allrecipes.com/recipe/7063/amish-friendship-bread-starter/,4.7,14440.0,30.0,14410.0,"Amish friendship bread starter is made with yeast, sugar, milk, and flour fermented to create a sweet sourdough starter for sharing with friends.","['1 (.25 ounce) package active dry yeast', '0.25 cup warm water (110 degrees F/45 degrees C)', '3 cups all-purpose flour, divided', '3 cups white sugar, divided', '3 cups milk, divided']","['Dissolve yeast in warm water in a small bowl; let stand until foamy, about 10 minutes.', 'Combine 1 cup flour and 1 cup sugar in a 2-quart container (glass, plastic, or ceramic); mix thoroughly. Stir in 1 cup milk and yeast mixture. Cover the container loosely and leave at room temperature until bubbly. This is day 1 of the 10-day process.', 'Days 2 through 4: Stir starter with a spoon. Day 5: Stir in 1 cup flour, 1 cup sugar, and 1 cup milk. Days 6 through 9: Stir starter with a spoon.', 'Day 10: Stir in remaining 1 cup flour, 1 cup sugar, and 1 cup milk. Remove 1 cup starter to make your first bread. Give 2 cups starter to friends (1 cup each) along with this recipe and your favorite Amish bread recipe. Store remaining 1 cup starter in a container in the refrigerator or begin the 10-day process over again (beginning with step 2).']",120,394,34.0,8.0,1.0,0.0,1.0,0.0,3.0,5.0,0.0,"['c', 'milk', 'sugar', 'yeast', 'f', 'degrees', 'water', 'flour']",,milk,"c, sugar, yeast, f, degrees, water, flour",veg
US,Missouri,Missouri,Simple Fried Morel Mushrooms,https://www.allrecipes.com/recipe/220833/simple-fried-morel-mushrooms/,4.7,30.0,20.0,10.0,"The rich, meaty flavor of fresh morel mushrooms is enhanced by a simple pan-frying technique.","['1 pound fresh morel mushrooms - dirt gently brushed off and mushrooms halved lengthwise', '1 cup all-purpose flour', '1 cup vegetable shortening', 'salt to taste']","['Place halved morel mushrooms in a large bowl; cover with cold, lightly salted water. Refrigerate mushrooms for about 5 minutes to loosen any dirt; pour off salted water, rinse, and repeat twice more. Crevices of the mushrooms may harbor tiny stones or even insects. Thoroughly rinse mushrooms a final time and allow to drain on paper towels.', 'Place flour in a shallow bowl.', 'Heat vegetable shortening in a large skillet until very hot.', 'Roll mushrooms in flour and tap off excess; gently lay mushrooms in the hot shortening.', 'Pan-fry until golden brown and flour coating is crisp, 5 to 8 minutes, turning often. Drain morels on paper towels, salt to taste, and enjoy your treasures!']",4,19,185.0,29.0,0.0,2.0,6.0,1.0,39.0,1.0,5.0,"['lengthwise', 'morel', 'salt', 'mushrooms', 'dirt', 'flour']",,,"lengthwise, morel, salt, mushrooms, dirt, flour",vegan
US,Missouri,Missouri,Big Al's K.C. Bar-B-Q Sauce,https://www.allrecipes.com/recipe/44491/big-als-kc-bar-b-q-sauce/,4.8,35.0,15.0,20.0,This is a Kansas City-style BBQ sauce recipe straight from a restaurant but easy enough to make at home. It is sweet and smoky with a little bite.,"['2 cups ketchup', '2 cups tomato sauce', '1.25 cups brown sugar', '1.25 cups red wine vinegar', '0.5 cup unsulfured molasses', '2 tablespoons butter', '4 teaspoons hickory-flavored liquid smoke', '1 teaspoon salt', '1 teaspoon coarsely ground black pepper', '1 teaspoon paprika', '0.5 teaspoon garlic powder', '0.5 teaspoon onion powder', '0.5 teaspoon celery seed', '0.5 teaspoon cayenne pepper', '0.25 teaspoon chili powder', '0.25 teaspoon ground cinnamon']","['Mix together ketchup, tomato sauce, brown sugar, wine vinegar, molasses, butter, and liquid smoke in a large saucepan over medium heat. Season with salt, black pepper, paprika, garlic powder, onion powder, celery seed, cayenne, chili powder, and cinnamon.', 'Reduce heat to low and simmer for up to 20 minutes. For a thicker sauce, simmer longer, and for thinner, less time is needed. Sauce can also be thinned using a bit of water if necessary.']",48,1400,46.0,10.0,1.0,0.0,0.0,0.0,219.0,8.0,1.0,"['seed', 'butter', 'celery', 'vinegar', 'salt', 'cinnamon', 'sauce', 'onion', 'sugar', 'paprika', 'chili', 'molasses', 'wine', 'ground', 'smoke', 'pepper', 'cayenne']",,butter,"seed, celery, vinegar, salt, cinnamon, sauce, onion, sugar, paprika, chili, molasses, wine, ground, smoke, pepper, cayenne",veg
US,Missouri,Missouri,Lemon Zucchini Bread,https://www.allrecipes.com/recipe/58817/lemon-zucchini-bread/,4.6,60.0,15.0,45.0,Lemon zest adds a touch of summer to this sweet zucchini bread!,"['1.5 cups shredded zucchini', '0.75 cup white sugar', '1 egg', '0.5 cup vegetable oil', '1.5 cups all-purpose flour', '0.5 teaspoon salt', '0.5 teaspoon baking soda', '0.25 teaspoon baking powder', '1 teaspoon ground cinnamon', '2 teaspoons lemon zest']","['Preheat oven to 325 degrees F (165 degrees C). Grease an 8x4 inch loaf pan.', 'In a bowl, beat together the zucchini, sugar, egg, and oil. In a separate bowl, sift together the flour, salt, baking soda, and baking powder; stir in the cinnamon and lemon zest. Stir the flour mixture into the zucchini mixture just until blended. Pour the batter into the prepared pan.', 'Bake 45 minutes in the preheated oven, until a knife inserted in the center comes out clean. Remove from heat, and cool about 10 minutes before turning out onto a wire rack to cool completely.']",12,630,195.0,25.0,16.0,1.0,2.0,2.0,165.0,13.0,10.0,"['salt', 'cinnamon', 'zucchini', 'sugar', 'soda', 'ground', 'flour', 'baking', 'egg', 'zest', 'oil']",egg,,"salt, cinnamon, zucchini, sugar, soda, ground, flour, baking, zest, oil",nveg
US,Missouri,Missouri,Springfield Style Cashew Chicken I,https://www.allrecipes.com/recipe/9009/springfield-style-cashew-chicken-i/,4.4,35.0,15.0,20.0,Fried chicken is topped with an Asian-style mild gravy composed of oyster and soy sauces with chicken broth. An abundance of cashews adds crunch and sweetness.,"['4 skinless, boneless chicken breasts', '2 cups all-purpose flour', '2 teaspoons baking soda', '5 tablespoons cornstarch, divided', '3 eggs, beaten', '2 cups peanut oil for frying', '2 cups chicken broth', '2 tablespoons oyster sauce', '1 tablespoon white sugar', '2 tablespoons soy sauce', '1 teaspoon ground white pepper', '2 tablespoons chopped green onion for topping', '2 cups cashew halves']","['Cut the chicken breasts into 1 inch pieces. In a shallow dish or bowl, mix together the flour, baking soda and 1 tablespoon of the cornstarch. In another dish or bowl beat the eggs. Dip chicken pieces into flour mixture, then eggs, then flour mixture again. Heat peanut oil in a large skillet and deep fry coated chicken in hot oil for 3 to 4 minutes. Drain on paper towels.', 'Meanwhile (while frying chicken), heat broth to boiling in a medium saucepan. Add oyster sauce, sugar, soy sauce and white pepper. Mix remaining 4 tablespoons cornstarch with a small amount of cold water in a cup. Stir cornstarch mixture slowly into broth mixture to thicken, then cook for another 5 minutes over medium-low heat.', 'Preheat oven to 200 degrees F (95 degrees C). Heat cashew nuts and chopped green onions in preheated oven for about 5 minutes. Pour sauce over fried chicken and top with cashews and green onion. Serve with soy sauce to taste over a bed of fried rice, if desired.']",6,148,652.0,56.0,141.0,3.0,33.0,7.0,1127.0,5.0,34.0,"['eggs', 'sauce', 'breasts', 'onion', 'sugar', 'skinless', 'chicken', 'boneless', 'cornstarch', 'halves', 'soda', 'ground', 'pepper', 'flour', 'broth', 'oil']","eggs, chicken",,"sauce, breasts, onion, sugar, skinless, boneless, cornstarch, halves, soda, ground, pepper, flour, broth, oil",nveg
US,Missouri,Missouri,Kansas City Ice Water,https://www.allrecipes.com/recipe/51923/kansas-city-ice-water/,4.5,2.0,2.0,0.0,"Citrus flavors are blended with gin and vodka. A very refreshing drink for hot summer days. Be careful, though - it is easy to have too many of these.","['1 fluid ounce gin', '1 fluid ounce vodka', '0.5 fluid ounce lime juice', '0.5 fluid ounce triple sec', '3 fluid ounces lemon-lime flavored carbonated beverage']","['Combine the gin, vodka, lime juice, and triple sec in a shaker with ice. Shake, and strain into a chilled pint glass with ice. Pour in lemon-lime soda, and serve.']",1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['lime', 'juice', 'sec', 'triple', 'vodka', 'beverage', 'gin']",,,"lime, juice, sec, triple, vodka, beverage, gin",vegan
US,Missouri,Missouri,St. Louis Pork Steaks,https://www.allrecipes.com/recipe/73669/st-louis-pork-steaks/,4.0,35.0,10.0,25.0,"Grilled pork steaks are juicy and tender in this family recipe. A simple dry rub coats the steaks, which are basted with cider vinegar while on the grill.","['5 pork shoulder steaks', '0.125 teaspoon seasoned salt', '0.125 teaspoon seasoned pepper', '2 cups apple cider vinegar', '1.5 cups water']","['Preheat an outdoor grill for medium-low heat and lightly oil the grate.', 'Season both sides of pork steaks with some of the seasoned salt and pepper. Combine vinegar and water in a large bowl and stir in remaining salt and pepper.', 'Place pork steaks on the preheated grill. Cook and baste with vinegar mixture on both sides of steaks during the first 15 minutes of grilling. Continue to cook steaks to desired doneness, 10 to 15 more minutes. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C). Discard remaining vinegar mixture.']",5,45,517.0,1.0,162.0,0.0,40.0,13.0,194.0,0.0,36.0,"['pork', 'apple', 'vinegar', 'salt', 'cider', 'shoulder', 'water', 'pepper', 'steaks']",pork,,"apple, vinegar, salt, cider, shoulder, water, pepper, steaks",nveg
